Argument,Nodes,Time,Primes
60000,1,88204.32,6057
60000,1,78864.14,6057
60000,1,75354.55,6057
60000,1,77181.49,6057
60000,1,75965.12,6057
60000,1,78902.54,6057
60000,1,74841.52,6057
60000,1,75663.81,6057
60000,1,76018.55,6057
60000,1,76226.33,6057
60000,1,75043.4,6057
60000,1,74820.66,6057
60000,1,80643.06,6057
60000,1,76006.48,6057
60000,1,77726.07,6057
60000,1,79036.79,6057
60000,1,76692.47,6057
60000,1,81983.85,6057
60000,1,74726.54,6057
60000,1,75766.05,6057
60000,1,75306.15,6057
60000,1,81398.54,6057
60000,1,76718.72,6057
60000,1,77506.88,6057
60000,1,75710.89,6057
60000,1,74773.03,6057
60000,1,76602.74,6057
60000,1,76710.88,6057
60000,1,75468.03,6057
60000,1,76765.76,6057
60000,1,76434.16,6057
60000,1,74881.73,6057
60000,1,74779.32,6057
60000,1,76710.69,6057
60000,1,76602.49,6057
60000,1,76011.1,6057
60000,1,75341.85,6057
60000,1,76397.51,6057
60000,1,79478.03,6057
60000,1,74746.62,6057
60000,1,74809.87,6057
60000,1,76893.77,6057
60000,1,76350.41,6057
60000,1,76730.07,6057
60000,1,74785.22,6057
60000,1,74692.14,6057
60000,1,74692.07,6057
60000,1,75030.05,6057
60000,1,77159.27,6057
60000,1,75825.74,6057
120000,2,180410.3,11301
120000,2,172403.12,11301
120000,2,170374.75,11301
120000,2,172522.31,11301
120000,2,170675.99,11301
120000,2,175228.96,11301
120000,2,174522.82,11301
120000,2,172410.21,11301
120000,2,167843.63,11301
120000,2,167674.73,11301
120000,2,174089.35,11301
120000,2,164636.4,11301
120000,2,166181.86,11301
120000,2,170098.05,11301
120000,2,167150.8,11301
120000,2,175027.83,11301
120000,2,176186.75,11301
120000,2,168611.69,11301
120000,2,172898.31,11301
120000,2,168046.83,11301
120000,2,173549.99,11301
120000,2,171507.71,11301
120000,2,172537.5,11301
120000,2,174473.29,11301
120000,2,171972.79,11301
120000,2,167902.03,11301
120000,2,167842.58,11301
120000,2,173955.61,11301
120000,2,176125.02,11301
120000,2,177896.25,11301
120000,2,169698.41,11301
120000,2,172621.02,11301
120000,2,172589.03,11301
120000,2,172531.16,11301
120000,2,166453.09,11301
120000,2,166945.92,11301
120000,2,165174.54,11301
120000,2,166648.05,11301
120000,2,170139.61,11301
120000,2,173726.33,11301
120000,2,177119.67,11301
120000,2,174928.87,11301
120000,2,175008.08,11301
120000,2,172522.75,11301
120000,2,169366.46,11301
120000,2,165071.86,11301
120000,2,176087.04,11301
120000,2,167934.0,11301
120000,2,174947.72,11301
120000,2,167791.22,11301
180000,3,391137.22,16342
180000,3,390688.51,16342
180000,3,380312.16,16342
180000,3,385742.45,16342
180000,3,382214.14,16342
180000,3,395489.38,16342
180000,3,391087.5,16342
180000,3,385628.36,16342
180000,3,377349.17,16342
180000,3,383701.95,16342
180000,3,377744.28,16342
180000,3,381167.59,16342
180000,3,396957.27,16342
180000,3,395094.28,16342
180000,3,392478.38,16342
180000,3,403225.86,16342
180000,3,401261.25,16342
180000,3,394685.54,16342
180000,3,387323.22,16342
180000,3,407516.43,16342
180000,3,390073.69,16342
180000,3,393972.71,16342
180000,3,403398.09,16342
180000,3,391183.62,16342
180000,3,396124.69,16342
180000,3,379883.03,16342
180000,3,416318.55,16342
180000,3,403479.99,16342
180000,3,396501.43,16342
180000,3,397549.48,16342
180000,3,388999.12,16342
180000,3,394092.62,16342
180000,3,393901.55,16342
180000,3,408086.01,16342
180000,3,387110.7,16342
180000,3,430360.73,16342
180000,3,390468.66,16342
180000,3,393910.52,16342
180000,3,382957.79,16342
180000,3,390523.53,16342
180000,3,403304.52,16342
180000,3,391795.86,16342
180000,3,413133.84,16342
180000,3,389882.42,16342
180000,3,402637.56,16342
180000,3,391228.48,16342
180000,3,398129.28,16342
180000,3,407138.73,16342
180000,3,386820.0,16342
180000,3,393031.86,16342
240000,4,360046.38,21221
240000,4,358173.19,21221
240000,4,374607.82,21221
240000,4,351853.08,21221
240000,4,352460.34,21221
240000,4,344074.58,21221
240000,4,358291.86,21221
240000,4,355134.96,21221
240000,4,368203.52,21221
240000,4,370659.59,21221
240000,4,371280.87,21221
240000,4,364826.83,21221
240000,4,365082.5,21221
240000,4,361600.19,21221
240000,4,363690.49,21221
240000,4,361979.84,21221
240000,4,377877.36,21221
240000,4,453372.28,21221
240000,4,432112.35,21221
240000,4,449171.23,21221
240000,4,434140.31,21221
240000,4,443216.72,21221
240000,4,457742.9,21221
240000,4,459911.8,21221
240000,4,457193.8,21221
240000,4,439446.01,21221
240000,4,444702.9,21221
240000,4,460073.14,21221
240000,4,461071.41,21221
240000,4,456173.31,21221
240000,4,446260.07,21221
240000,4,448367.43,21221
240000,4,434065.18,21221
240000,4,454054.95,21221
240000,4,435462.14,21221
240000,4,470721.24,21221
240000,4,441036.62,21221
240000,4,446938.92,21221
240000,4,458840.6,21221
240000,4,455573.4,21221
240000,4,456588.6,21221
240000,4,444838.4,21221
240000,4,432832.87,21221
240000,4,434856.75,21221
240000,4,452339.99,21221
240000,4,471781.23,21221
240000,4,435319.75,21221
240000,4,441758.09,21221
240000,4,434322.3,21221
240000,4,459395.04,21221
