Argument,Nodes,Time,Primes
1200000,1,38677.34,92938
1200000,1,39520.58,92938
1200000,1,41253.95,92938
1200000,1,38725.08,92938
1200000,1,40865.3,92938
1200000,1,39367.77,92938
1200000,1,38768.34,92938
1200000,1,40100.51,92938
1200000,1,41344.5,92938
1200000,1,39570.64,92938
1200000,1,39454.17,92938
1200000,1,39503.85,92938
1200000,1,38838.36,92938
1200000,1,40511.65,92938
1200000,1,40736.69,92938
1200000,1,40091.08,92938
1200000,1,40634.29,92938
1200000,1,41571.38,92938
1200000,1,39455.78,92938
1200000,1,38614.94,92938
1200000,1,39627.19,92938
1200000,1,38798.37,92938
1200000,1,39688.24,92938
1200000,1,42121.31,92938
1200000,1,41774.78,92938
1200000,1,39284.89,92938
1200000,1,41150.59,92938
1200000,1,40139.13,92938
1200000,1,39612.85,92938
1200000,1,38662.33,92938
1200000,1,39942.67,92938
1200000,1,40422.82,92938
1200000,1,38617.09,92938
1200000,1,39614.79,92938
1200000,1,40401.44,92938
1200000,1,40723.09,92938
1200000,1,38834.89,92938
1200000,1,39128.12,92938
1200000,1,41807.12,92938
1200000,1,39601.13,92938
1200000,1,41442.6,92938
1200000,1,38680.45,92938
1200000,1,40233.61,92938
1200000,1,39411.29,92938
1200000,1,38942.01,92938
1200000,1,39013.2,92938
1200000,1,39280.36,92938
1200000,1,39994.83,92938
1200000,1,42420.33,92938
1200000,1,41358.92,92938
2400000,2,53356.22,176302
2400000,2,53725.85,176302
2400000,2,54262.74,176302
2400000,2,53772.26,176302
2400000,2,54657.3,176302
2400000,2,56012.91,176302
2400000,2,52495.16,176302
2400000,2,55429.34,176302
2400000,2,53707.98,176302
2400000,2,54776.24,176302
2400000,2,58796.38,176302
2400000,2,53063.4,176302
2400000,2,52991.43,176302
2400000,2,56062.55,176302
2400000,2,53584.3,176302
2400000,2,53295.11,176302
2400000,2,53159.16,176302
2400000,2,55979.25,176302
2400000,2,52549.87,176302
2400000,2,54763.58,176302
2400000,2,56740.23,176302
2400000,2,52672.35,176302
2400000,2,52329.32,176302
2400000,2,58412.46,176302
2400000,2,52604.97,176302
2400000,2,54066.38,176302
2400000,2,54138.39,176302
2400000,2,57216.98,176302
2400000,2,52080.27,176302
2400000,2,55558.53,176302
2400000,2,54492.09,176302
2400000,2,54661.05,176302
2400000,2,53206.66,176302
2400000,2,56761.61,176302
2400000,2,53680.9,176302
2400000,2,54806.66,176302
2400000,2,52156.65,176302
2400000,2,54308.14,176302
2400000,2,54255.35,176302
2400000,2,58080.12,176302
2400000,2,59031.29,176302
2400000,2,55481.45,176302
2400000,2,56010.99,176302
2400000,2,52571.72,176302
2400000,2,53838.23,176302
2400000,2,58796.54,176302
2400000,2,53367.17,176302
2400000,2,52678.36,176302
2400000,2,53775.94,176302
2400000,2,56972.72,176302
3600000,3,95627.31,256726
3600000,3,94627;13,256726
3600000,3,93781.81,256726
3600000,3,93600.23,256726
3600000,3,92500.42,256726
3600000,3,92210.58,256726
3600000,3,95708.8,256726
3600000,3,94321.78,256726
3600000,3,94711.3,256726
3600000,3,93552.48,256726
3600000,3,98680.23,256726
3600000,3,103192.26,256726
3600000,3,93562.76,256726
3600000,3,96658.62,256726
3600000,3,95377.68,256726
3600000,3,100951.26,256726
3600000,3,95733.47,256726
3600000,3,94247.95,256726
3600000,3,93435.51,256726
3600000,3,97974.9,256726
3600000,3,91900.48,256726
3600000,3,97740.68,256726
3600000,3,97113.13,256726
3600000,3,94429.53,256726
3600000,3,91932.95,256726
3600000,3,102011.58,256726
3600000,3,93373.61,256726
3600000,3,93185.64,256726
3600000,3,92914.0,256726
3600000,3,94625.87,256726
3600000,3,95033.11,256726
3600000,3,95675.78,256726
3600000,3,95555.91,256726
3600000,3,92577.2,256726
3600000,3,95409.28,256726
3600000,3,94060.35,256726
3600000,3,97284.59,256726
3600000,3,93604.55,256726
3600000,3,96240.29,256726
3600000,3,96034.99,256726
3600000,3,96500.0,256726
3600000,3,94102.22,256726
3600000,3,95239.93,256726
3600000,3,96776.49,256726
3600000,3,93709.62,256726
3600000,3,96746.78,256726
3600000,3,96207.63,256726
3600000,3,94990.16,256726
3600000,3,93758.51,256726
3600000,3,94345.96,256726
4800000,4,92243.42,335439
4800000,4,91283.63,335439
4800000,4,92060.21,335439
4800000,4,91988.75,335439
