Argument,Nodes,Time,Primes
1200000,1,39402.88,92938
1200000,1,39589.41,92938
1200000,1,40888.66,92938
1200000,1,38678.36,92938
1200000,1,38676.1,92938
1200000,1,39990.95,92938
1200000,1,38748.77,92938
1200000,1,38693.38,92938
1200000,1,39370.13,92938
1200000,1,39508.09,92938
1200000,1,39610.35,92938
1200000,1,39707.84,92938
1200000,1,40635.09,92938
1200000,1,39129.27,92938
1200000,1,40686.22,92938
1200000,1,39151.12,92938
1200000,1,39802.2,92938
1200000,1,38815.42,92938
1200000,1,40530.7,92938
1200000,1,39904.61,92938
1200000,1,38623.04,92938
1200000,1,40435.65,92938
1200000,1,41183.24,92938
1200000,1,38747.7,92938
1200000,1,39586.77,92938
1200000,1,38795.33,92938
1200000,1,41721.15,92938
1200000,1,39241.04,92938
1200000,1,39548.88,92938
1200000,1,39601.64,92938
1200000,1,38593.44,92938
1200000,1,38855.15,92938
1200000,1,39135.69,92938
1200000,1,39858.03,92938
1200000,1,39472.04,92938
1200000,1,41772.67,92938
1200000,1,39801.77,92938
1200000,1,39568.4,92938
1200000,1,39064.77,92938
1200000,1,40160.43,92938
1200000,1,39065.27,92938
1200000,1,41324.1,92938
1200000,1,39241.63,92938
1200000,1,38985.3,92938
1200000,1,39110.8,92938
1200000,1,39723.47,92938
1200000,1,39020.9,92938
1200000,1,38917.68,92938
1200000,1,38806.45,92938
1200000,1,39835.41,92938
1200000,2,19988.36,92938
1200000,2,20276.75,92938
1200000,2,19347.38,92938
1200000,2,20147.29,92938
1200000,2,19932.75,92938
1200000,2,20051.97,92938
1200000,2,19750.94,92938
1200000,2,19847.56,92938
1200000,2,20028.08,92938
1200000,2,19826.84,92938
1200000,2,20341.35,92938
1200000,2,22075.87,92938
1200000,2,19377.9,92938
1200000,2,19615.98,92938
1200000,2,20119.48,92938
1200000,2,21053.55,92938
1200000,2,20038.24,92938
1200000,2,20816.88,92938
1200000,2,20160.18,92938
1200000,2,19965.9,92938
1200000,2,19952.26,92938
1200000,2,19922.16,92938
1200000,2,20018.56,92938
1200000,2,21142.77,92938
1200000,2,20080.46,92938
1200000,2,20156.52,92938
1200000,2,19868.75,92938
1200000,2,19733.0,92938
1200000,2,20602.64,92938
1200000,2,19907.66,92938
